beta,gamma,beta_opt,gamma_opt
0.9,0.6000000000000001,0.8269212159028947,0.8101522351988282
0.9,0.7000000000000001,0.6953463240251787,0.6786298395671434
0.9,0.8,0.8837319139295995,0.8669230164974578
0.9,0.9,0.9016812241006272,0.8848689830943702
0.9,1,0.9106157435191863,0.8938461219172257
1,0,1.7171186791322053e-6,0.9999988897769754
1,0.1,0.06468104141133799,0.9705135866889805
1,0.2,0.639885782603215,0.6231354085338473
1,0.30000000000000004,0.6311429080261864,0.6143912396577781
1,0.4,0.68360366862628,0.6668857182037915
1,0.5,1,0.9831841540270168
1,0.6000000000000001,0.6529208017134956,0.6361878793563074
1,0.7000000000000001,0.6561653874463786,0.6394481744977478
1,0.8,0.6444154431832668,0.6277066264365435
1,0.9,0.6174192278209101,0.6007184671826897
1,1,1,0.9831902771457267
