region,time,air_freight_loaded,air_freight_unloaded,air_passengers_arrived,air_passengers_departed,area,tourist_arrivals,hospital_stay,broadband_access,death_rate_all,death_rate_hiv,death_rate_influenza,death_rate_tb,death_rate_viralhepatitis,disposable_income,gdp_per_inhabitant,medical_doctors,nurses_midwives,Available beds in hospitals (HP.1),curative_care_beds,longterm_care_beds,other_beds,psychiatric_care_beds,rehabilitative_care_beds,internet_contact_authorities,length_electrified_railway,length_motorways,length_other_roads,length_large_railway,length_railway,maritime_freight_loaded,maritime_freight_unloaded,maritime_passengers_disembarked,maritime_passengers_embarked,median_age,lower_education,tertiary_education,higher_education,population_density,population_numbers,risk_of_poverty_or_social_exclusion
Liguria,1991,,,,,5416.0,2260628.0,,,,,,,,,,,,,,,,,,,,369.0,3626.0,,492.0,,,,,44.5,,,,310.0,1684514.0,
Lombardia,1991,,,,,23864.0,4353060.0,,,,,,,,,,,,,,,,,,,,545.0,12219.0,,1546.0,,,,,38.4,,,,371.1,8849595.0,
Marche,1991,,,,,9401.0,,,,,,,,,,,,,,,,,,,,,167.0,6337.0,,,,,,,,,,,,,
Molise,1991,,,,,4461.0,127595.0,,,,,,,,,,,,,,,,,,,,36.0,2616.0,,258.0,,,,,37.5,,,,74.5,330557.0,
Nord-Est,1991,,,,,62327.0,,,,,,,,,,,,,,,,,,,,,1395.0,26992.0,,,,,,,,,,,,,
Nord-Ovest,1991,,,,,57928.0,8755010.0,,,,,,,,,,,,,,,,,,,,1681.0,30186.0,,3942.0,,,,,39.8,,,,,14957236.0,
Piemonte,1991,,,,,25387.0,1530608.0,,,,,,,,,,,,,,,,,,,,706.0,13759.0,,1823.0,,,,,41.0,,,,169.4,4307852.0,
Provincia Autonoma di Bolzano/Bozen,1991,,,,,7398.0,,,,,,,,,,,,,,,,,,,,,187.0,4560.0,,223.0,,,,,33.9,,,,59.4,438916.0,
Provincia Autonoma di Trento,1991,,,,,6207.0,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,,37.8,,,,72.3,448280.0,
Puglia,1991,,,,,19541.0,1178487.0,,,,,,,,,,,,,,,,,,,,315.0,11105.0,,857.0,,,,,32.3,,,,208.1,4025392.0,
Sardegna,1991,,,,,24100.0,1141413.0,,,,,,,,,,,,,,,,,,,,,8157.0,,435.0,,,,,33.3,,,,68.3,1644286.0,
Sicilia,1991,,,,,25833.0,1952762.0,,,,,,,,,,,,,,,,,,,,570.0,15244.0,,1443.0,,,,,33.6,,,,193.3,4970805.0,
Sud,1991,,,,,73800.0,5372126.0,,,,,,,,,,,,,,,,,,,,1472.0,44313.0,,3864.0,,,,,32.4,,,,,13909679.0,
Toscana,1991,,,,,22988.0,,,,,,,,,,,,,,,,,,,,,387.0,10684.0,,1379.0,,,,,42.1,,,,153.5,3531357.0,
Umbria,1991,,,,,8464.0,,,,,,,,,,,,,,,,,,,,,56.0,4171.0,,389.0,,,,,41.7,,,,95.9,810623.0,
Valle d'Aosta/Vallée d'Aoste,1991,,,,,3261.0,610714.0,,,,,,,,,,,,,,,,,,,,61.0,582.0,,81.0,,,,,39.5,,,,35.4,115275.0,
Veneto,1991,,,,,18407.0,,,,,,,,,,,,,,,,,,,,,445.0,8931.0,,1110.0,,,,,37.6,,,,238.3,4372865.0,
Abruzzo,1992,,,,,10833.0,981817.0,,,,,,,,,,,,,,,,,,,,319.0,7407.0,,533.0,,,,,38.2,,,,117.3,1249558.0,
Basilicata,1992,,,,,10073.0,204876.0,,,,,,,,,,,,,,,,,,,,29.0,4818.0,,345.0,,,,,34.6,,,,62.8,610394.0,
Calabria,1992,,,,,15222.0,661462.0,,,,,,,,,,,,,,,,,,,,279.0,9239.0,,855.0,,,,,33.2,,,,140.1,2069008.0,
Campania,1992,,,,,13670.0,2231200.0,,,,,,,,,,,,,,,,,,,,434.0,9536.0,,959.0,,,,,31.7,,,,421.3,5631686.0,
Centro (IT),1992,,,,,58085.0,,,,,,,,,,,,,,,,,,,,,1093.0,31369.0,,,,,,,,,,,,,
Emilia-Romagna,1992,,,,,22453.0,,,,,,,,,,,,,,,,,,,,,630.0,10056.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1992,,,,,7862.0,,,,,,,,,,,,,,,,,,,,,200.0,3328.0,,494.0,,,,,42.3,,,,158.3,1196164.0,
Isole,1992,,,,,49933.0,2956654.0,,,,,,,,,,,,,,,,,,,,587.0,24220.0,,1878.0,,,,,34.1,,,,,6614889.0,
Italy,1992,,,,,302073.0,39471964.0,,,,,,,,,,,,,,,,,,,10015.0,6293.0,157763.0,5899.0,15903.0,,,,,37.6,,,,,56773200.0,
Lazio,1992,,,,,17232.0,,,,,,,,,,,,,,,,,,,,,472.0,9560.0,,1115.0,,,,,37.5,,,,305.0,5142908.0,
Liguria,1992,,,,,5416.0,2324108.0,,,,,,,,,,,,,,,,,,,,374.0,3649.0,,492.0,,,,,45.0,,,,313.1,1674120.0,
Lombardia,1992,,,,,23864.0,4426258.0,,,,,,,,,,,,,,,,,,,,543.0,12074.0,,1546.0,,,,,38.8,,,,389.0,8860344.0,
Marche,1992,,,,,9401.0,,,,,,,,,,,,,,,,,,,,,179.0,6778.0,,,,,,,,,,,,,
Molise,1992,,,,,4461.0,132331.0,,,,,,,,,,,,,,,,,,,,52.0,2627.0,,250.0,,,,,38.0,,,,75.5,330605.0,
Nord-Est,1992,,,,,62327.0,,,,,,,,,,,,,,,,,,,,,1482.0,27222.0,,,,,,,,,,,,,
Nord-Ovest,1992,,,,,57928.0,8978755.0,,,,,,,,,,,,,,,,,,,,1737.0,30269.0,,3942.0,,,,,40.2,,,,,14949230.0,
Piemonte,1992,,,,,25387.0,1597053.0,,,,,,,,,,,,,,,,,,,,765.0,13897.0,,1823.0,,,,,41.4,,,,172.7,4298870.0,
Provincia Autonoma di Bolzano/Bozen,1992,,,,,7398.0,,,,,,,,,,,,,,,,,,,,,207.0,4332.0,,223.0,,,,,34.2,,,,59.9,440635.0,
Provincia Autonoma di Trento,1992,,,,,6207.0,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,38.1,,,,73.4,449805.0,
Puglia,1992,,,,,19541.0,1261593.0,,,,,,,,,,,,,,,,,,,,281.0,11056.0,,857.0,,,,,33.0,,,,210.3,4031540.0,
Sardegna,1992,,,,,24100.0,1149045.0,,,,,,,,,,,,,,,,,,,,,8236.0,,435.0,,,,,33.9,,,,69.0,1648005.0,
Sicilia,1992,,,,,25833.0,1807609.0,,,,,,,,,,,,,,,,,,,,587.0,15984.0,,1443.0,,,,,34.2,,,,195.8,4966884.0,
Sud,1992,,,,,73800.0,5473279.0,,,,,,,,,,,,,,,,,,,,1394.0,44683.0,,3799.0,,,,,33.1,,,,,13922791.0,
Toscana,1992,,,,,22988.0,,,,,,,,,,,,,,,,,,,,,378.0,10819.0,,1379.0,,,,,42.5,,,,155.6,3526897.0,
Umbria,1992,,,,,8464.0,,,,,,,,,,,,,,,,,,,,,64.0,4212.0,,389.0,,,,,42.1,,,,98.3,811504.0,
Valle d'Aosta/Vallée d'Aoste,1992,,,,,3261.0,631336.0,,,,,,,,,,,,,,,,,,,,55.0,649.0,,81.0,,,,,39.8,,,,35.8,115896.0,
Veneto,1992,,,,,18407.0,,,,,,,,,,,,,,,,,,,,,445.0,9506.0,,1100.0,,,,,38.0,,,,250.0,4381173.0,
Abruzzo,1993,,,,,10833.0,928942.0,,,,,,,,,,7637.0,,10112.0,9973.0,139.0,0.0,1888.0,,,297.0,319.0,7387.0,91.0,533.0,,,,,38.5,,,,117.4,1252191.0,
Basilicata,1993,,,,,10073.0,200301.0,,,,,,,,,,2540.0,,3976.0,3642.0,334.0,0.0,895.0,,,162.0,40.0,4818.0,17.0,301.0,,,,,34.9,,,,62.8,610191.0,
Calabria,1993,0.0,,,1.0,15222.0,662050.0,,,,,,,,,,12267.0,,11940.0,11940.0,0.0,0.0,969.0,,,403.0,279.0,9262.0,253.0,855.0,,,,,33.6,,,,140.1,2065139.0,
Campania,1993,2.0,1.0,366.0,372.0,13670.0,2213073.0,,,,,,,,,,31482.0,,29818.0,29394.0,424.0,0.0,4432.0,,,658.0,445.0,9380.0,487.0,960.0,,,,,32.0,,,,422.9,5655559.0,
Centro (IT),1993,132.0,105.0,5596.0,5559.0,58085.0,,,,,,,,,,,,,,,,,,,,,1156.0,31432.0,,,,,,,,,,,,,
Emilia-Romagna,1993,2.0,1.0,421.0,414.0,22453.0,,,,,,,,,,,24337.0,,27194.0,27028.0,166.0,0.0,2176.0,,,,630.0,10062.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1993,0.0,0.0,23.0,26.0,7862.0,,,,,,,,,,,5870.0,,9365.0,9309.0,56.0,0.0,240.0,,,381.0,203.0,3322.0,246.0,494.0,,,,,42.6,,,,157.7,1191952.0,
Isole,1993,0.0,0.0,284.0,296.0,49933.0,2817551.0,,,,,,,,,,,,,,,,,,,721.0,581.0,24482.0,118.0,1886.0,,,,,34.4,,,,,6630505.0,
Italy,1993,228.0,174.0,11823.0,11857.0,302073.0,38509560.0,,,,,,,,,,313337.0,,380420.0,367988.0,12432.0,0.0,39668.0,,,10047.0,6401.0,158110.0,5937.0,15892.0,,,,,37.9,,,,,56822084.0,
Lazio,1993,131.0,104.0,5210.0,5164.0,17232.0,,,,,,,,,,,36948.0,,42515.0,37736.0,4779.0,0.0,4954.0,,,890.0,478.0,9559.0,603.0,1098.0,,,,,37.8,,,,305.4,5159157.0,
Liguria,1993,1.0,1.0,105.0,101.0,5416.0,2150595.0,,,,,,,,,,11286.0,,12764.0,12419.0,345.0,0.0,1318.0,,,473.0,374.0,3649.0,277.0,493.0,,,,,45.4,,,,311.0,1662053.0,
Lombardia,1993,83.0,61.0,3885.0,3927.0,23864.0,4270410.0,,,,,,,,,,44421.0,,61739.0,59868.0,1871.0,0.0,6072.0,,,1209.0,543.0,12076.0,575.0,1562.0,,,,,39.0,,,,389.3,8874313.0,
Marche,1993,,,,,9401.0,,,,,,,,,,,7068.0,,10105.0,10007.0,98.0,0.0,629.0,,,,200.0,,,,,,,,,,,,,,
Molise,1993,,,,,4461.0,127162.0,,,,,,,,,,1755.0,,1921.0,1921.0,0.0,0.0,49.0,,,33.0,52.0,2717.0,18.0,250.0,,,,,38.3,,,,75.4,329889.0,
Nord-Est,1993,5.0,3.0,1232.0,1242.0,62327.0,,,,,,,,,,,,,,,,,,,,,1489.0,27325.0,,,,,,,,,,,,,
Nord-Ovest,1993,89.0,65.0,4310.0,4346.0,57928.0,8507671.0,,,,,,,,,,,,,,,,,,,2834.0,1759.0,30254.0,1509.0,3973.0,,,,,40.5,,,,,14940675.0,
Piemonte,1993,4.0,3.0,320.0,317.0,25387.0,1494328.0,,,,,,,,,,19635.0,,25565.0,25084.0,481.0,0.0,2112.0,,,1152.0,749.0,13880.0,657.0,1835.0,,,,,41.7,,,,172.2,4288065.0,
Provincia Autonoma di Bolzano/Bozen,1993,,,,,7398.0,,,,,,,,,,,1725.0,,3041.0,2903.0,138.0,0.0,15.0,,,223.0,207.0,4371.0,127.0,223.0,,,,,34.5,,,,60.2,442450.0,
Provincia Autonoma di Trento,1993,,,,,6207.0,,,,,,,,,,,2084.0,,3757.0,3417.0,340.0,0.0,424.0,,,79.0,,,70.0,144.0,,,,,38.3,,,,73.7,451606.0,
Puglia,1993,0.0,0.0,35.0,41.0,19541.0,1275917.0,,,,,,,,,,18796.0,,28859.0,28369.0,490.0,0.0,4424.0,,,415.0,281.0,11053.0,227.0,853.0,,,,,33.4,,,,210.7,4039668.0,
Sardegna,1993,0.0,0.0,74.0,81.0,24100.0,1059227.0,,,,,,,,,,9301.0,,10129.0,10027.0,102.0,0.0,763.0,,,0.0,,8350.0,17.0,438.0,,,,,34.4,,,,69.1,1649493.0,
Sicilia,1993,0.0,0.0,210.0,215.0,25833.0,1758324.0,,,,,,,,,,29250.0,,26432.0,26268.0,164.0,0.0,3018.0,,,721.0,581.0,16132.0,102.0,1448.0,,,,,34.5,,,,196.3,4981012.0,
Sud,1993,2.0,1.0,401.0,414.0,73800.0,5407445.0,,,,,,,,,,,,,,,,,,,1968.0,1416.0,44617.0,1091.0,3752.0,,,,,33.4,,,,,13952637.0,
