region,time,air_freight_loaded,air_freight_unloaded,air_passengers_arrived,air_passengers_departed,area,tourist_arrivals,hospital_stay,broadband_access,death_rate_all,death_rate_hiv,death_rate_influenza,death_rate_tb,death_rate_viralhepatitis,disposable_income,gdp_per_inhabitant,medical_doctors,nurses_midwives,Available beds in hospitals (HP.1),curative_care_beds,longterm_care_beds,other_beds,psychiatric_care_beds,rehabilitative_care_beds,internet_contact_authorities,length_electrified_railway,length_motorways,length_other_roads,length_large_railway,length_railway,maritime_freight_loaded,maritime_freight_unloaded,maritime_passengers_disembarked,maritime_passengers_embarked,median_age,lower_education,tertiary_education,higher_education,population_density,population_numbers,risk_of_poverty_or_social_exclusion
Valle d'Aosta/Vallée d'Aoste,1994,,,,,3261.0,625218.0,,,,,,,,,,525.0,,513.0,513.0,0.0,0.0,20.0,,,0.0,94.0,537.0,0.0,83.0,,,,,40.3,,,,36.0,116389.0,
Veneto,1994,4.0,3.0,1037.0,1048.0,18407.0,,,,,,,,,,,20995.0,,32433.0,30483.0,1950.0,0.0,3493.0,,,588.0,457.0,9578.0,515.0,1093.0,,,,,38.7,,,,250.8,4394897.0,
Abruzzo,1995,0.0,0.0,22.0,12.0,10833.0,905729.0,,,,,,,,,,7872.0,,9228.0,9110.0,118.0,0.0,1415.0,,,297.0,319.0,7293.0,91.0,533.0,,,,,39.1,,,,117.6,1254352.0,
Basilicata,1995,,,,,10073.0,207067.0,,,,,,,,,,2641.0,,3927.0,3593.0,334.0,0.0,557.0,,,205.0,40.0,4834.0,17.0,345.0,,,,,35.7,,,,62.7,609799.0,
Calabria,1995,1.0,1.0,354.0,330.0,15222.0,766151.0,,,,,,,,,,12862.0,,11104.0,11104.0,0.0,0.0,315.0,,,402.0,279.0,10090.0,253.0,855.0,,,,,34.4,,,,139.9,2064883.0,
Campania,1995,3.0,2.0,1286.0,1287.0,13670.0,2426444.0,,,,,,,,,,32677.0,,26504.0,26080.0,424.0,0.0,1935.0,,,710.0,445.0,9495.0,483.0,977.0,,,,,32.7,,,,425.3,5691818.0,
Centro (IT),1995,183.0,135.0,12092.0,12409.0,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31431.0,,,,,,,,,,,,,
Emilia-Romagna,1995,7.0,3.0,1089.0,1076.0,22453.0,,,,,,,,,,,24846.0,,25613.0,25497.0,116.0,0.0,1445.0,,,,633.0,10100.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1995,0.0,1.0,222.0,220.0,7862.0,,,,,,,,,,,6013.0,,8803.0,8803.0,0.0,0.0,131.0,,,375.0,207.0,3348.0,268.0,488.0,,,,,43.2,,,,156.7,1183131.0,
Isole,1995,7.0,16.0,3881.0,3736.0,49933.0,2999326.0,,,,,,,,,,,,,,,,,,,753.0,582.0,24781.0,123.0,1886.0,,,,,35.1,,,,,6656060.0,
Italy,1995,342.0,268.0,29953.0,30232.0,302073.0,39587610.0,,,,,,,,,,324348.0,,356242.0,344035.0,12207.0,0.0,27584.0,,,10205.0,6473.0,159572.0,6023.0,15958.0,,,,,38.5,,,,,56845944.0,
Lazio,1995,179.0,132.0,11153.0,11440.0,17232.0,,,,,,,,,,,38190.0,,43290.0,38232.0,5058.0,0.0,3347.0,,,882.0,478.0,9521.0,681.0,1100.0,,,,,38.5,,,,305.4,5154261.0,
Liguria,1995,2.0,3.0,458.0,421.0,5416.0,2246075.0,,,,,,,,,,11529.0,,12320.0,11975.0,345.0,0.0,1138.0,,,478.0,374.0,3650.0,288.0,500.0,,,,,46.0,,,,306.8,1641159.0,
Lombardia,1995,122.0,91.0,7179.0,7413.0,23864.0,4363088.0,,,,,,,,,,46027.0,,60578.0,58969.0,1609.0,0.0,5100.0,,,1212.0,560.0,12037.0,578.0,1566.0,,,,,39.6,,,,389.4,8875974.0,
Marche,1995,0.0,0.0,78.0,97.0,9401.0,,,,,,,,,,,7252.0,,9253.0,9208.0,45.0,0.0,376.0,,,,200.0,6930.0,,,,,,,,,,,,,
Molise,1995,,,,,4461.0,125297.0,,,,,,,,,,1828.0,,1860.0,1860.0,0.0,0.0,39.0,,,33.0,52.0,2746.0,18.0,250.0,,,,,38.9,,,,75.2,329214.0,
Nord-Est,1995,14.0,9.0,3168.0,3161.0,62327.0,,,,,,,,,,,,,,,,,,,,,1504.0,27484.0,,,,,,,,,,,,,
Nord-Ovest,1995,133.0,102.0,8574.0,8739.0,57928.0,8644451.0,,,,,,,,,,,,,,,,,,,2853.0,1816.0,30262.0,1534.0,3989.0,,,,,41.0,,,,,14894954.0,
Piemonte,1995,9.0,8.0,936.0,905.0,25387.0,1366426.0,,,,,,,,,,20303.0,,25313.0,24524.0,789.0,0.0,1274.0,,,1163.0,788.0,13926.0,668.0,1840.0,,,,,42.3,,,,171.2,4261168.0,
Provincia Autonoma di Bolzano/Bozen,1995,,,,,7398.0,,,,,,,,,,,1814.0,,3139.0,3001.0,138.0,0.0,37.0,,,223.0,207.0,4370.0,127.0,223.0,,,,,35.2,,,,60.7,446195.0,
Provincia Autonoma di Trento,1995,,,,,6207.0,,,,,,,,,,,2136.0,,3748.0,3487.0,261.0,0.0,355.0,,,79.0,,,70.0,144.0,,,,,38.9,,,,74.4,455982.0,
Puglia,1995,1.0,2.0,551.0,533.0,19541.0,1330042.0,,,,,,,,,,19753.0,,22090.0,21562.0,528.0,0.0,3671.0,,,435.0,281.0,11156.0,259.0,851.0,,,,,34.1,,,,211.3,4055934.0,
Sardegna,1995,2.0,7.0,1599.0,1527.0,24100.0,1109484.0,,,,,,,,,,9821.0,,9716.0,9574.0,142.0,0.0,675.0,,,0.0,0.0,8455.0,17.0,438.0,,,,,35.4,,,,69.1,1651147.0,
Sicilia,1995,4.0,8.0,2283.0,2209.0,25833.0,1889842.0,,,,,,,,,,30368.0,,24912.0,24796.0,116.0,0.0,2077.0,,,753.0,582.0,16326.0,107.0,1448.0,,,,,35.0,,,,197.1,5004913.0,
Sud,1995,5.0,6.0,2213.0,2162.0,73800.0,5760730.0,,,,,,,,,,,,,,,,,,,2082.0,1416.0,45614.0,1121.0,3810.0,,,,,34.2,,,,,14006000.0,
Toscana,1995,3.0,3.0,855.0,869.0,22988.0,,,,,,,,,,,21333.0,,20972.0,20575.0,397.0,0.0,1199.0,,,878.0,413.0,10779.0,730.0,1407.0,,,,,43.3,,,,154.6,3505309.0,
Umbria,1995,,,6.0,3.0,8464.0,,,,,,,,,,,5241.0,,4602.0,4602.0,0.0,0.0,131.0,,,358.0,64.0,4201.0,182.0,379.0,,,,,42.9,,,,98.6,813664.0,
Valle d'Aosta/Vallée d'Aoste,1995,,,,,3261.0,668862.0,,,,,,,,,,531.0,,512.0,512.0,0.0,0.0,21.0,,,0.0,94.0,649.0,0.0,83.0,,,,,40.5,,,,36.1,116653.0,
Veneto,1995,7.0,5.0,1857.0,1866.0,18407.0,,,,,,,,,,,21311.0,,28758.0,26971.0,1787.0,0.0,2346.0,,,588.0,457.0,9666.0,515.0,1093.0,,,,,39.0,,,,251.0,4400073.0,
Abruzzo,1996,,0.0,26.0,10.0,10833.0,912839.0,,,,,,,,,,8005.0,,9851.0,9626.0,225.0,0.0,1772.0,,,297.0,319.0,7371.0,91.0,533.0,,,,,39.4,,,,117.7,1255514.0,
Basilicata,1996,,,,,10073.0,240731.0,,,,,,,,,,2656.0,,4068.0,3734.0,334.0,0.0,566.0,,,205.0,40.0,4846.0,17.0,345.0,,,,,36.1,,,,62.6,608902.0,
Calabria,1996,1.0,1.0,412.0,390.0,15222.0,800953.0,,,,,,,,,,13133.0,,11648.0,11200.0,448.0,0.0,353.0,,,402.0,279.0,9528.0,253.0,855.0,,,,,34.8,,,,139.6,2062112.0,
Campania,1996,3.0,3.0,1455.0,1436.0,13670.0,2572092.0,,,,,,,,,,33081.0,,30598.0,30169.0,429.0,0.0,4130.0,,,710.0,445.0,9626.0,497.0,977.0,,,,,33.1,,,,426.2,5703781.0,
Centro (IT),1996,185.0,140.0,13192.0,13298.0,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31500.0,,,,,,,,,,,,,
Emilia-Romagna,1996,8.0,3.0,1191.0,1188.0,22453.0,,,,,,,,,,,24868.0,,25532.0,25196.0,336.0,0.0,1448.0,,,,633.0,10180.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1996,0.0,1.0,254.0,253.0,7862.0,,,,,,,,,,,6052.0,,7820.0,7750.0,70.0,0.0,81.0,,,375.0,207.0,3349.0,269.0,488.0,,,,,43.4,,,,156.3,1180292.0,
Isole,1996,8.0,17.0,3856.0,3830.0,49933.0,3198230.0,,,,,,,,,,,,,,,,,,,753.0,582.0,25404.0,123.0,1886.0,,,,,35.5,,,,,6659771.0,
Italy,1996,352.0,281.0,32690.0,32666.0,302073.0,40086750.0,,,,,,,,,,327254.0,,372352.0,359281.0,13071.0,0.0,31198.0,,,10319.0,6479.0,159967.0,6044.0,15967.0,,,,,38.9,,,,,56846300.0,
Lazio,1996,181.0,137.0,12112.0,12198.0,17232.0,,,,,,,,,,,38409.0,,45485.0,40287.0,5198.0,0.0,3364.0,,,882.0,478.0,9550.0,681.0,1100.0,,,,,38.8,,,,305.1,5148923.0,
Liguria,1996,3.0,3.0,427.0,426.0,5416.0,2189178.0,,,,,,,,,,11526.0,,11710.0,11454.0,256.0,0.0,1178.0,,,478.0,374.0,3663.0,288.0,500.0,,,,,46.3,,,,304.7,1629143.0,
Lombardia,1996,109.0,79.0,8226.0,8222.0,23864.0,4365492.0,,,,,,,,,,46556.0,,59374.0,58026.0,1348.0,0.0,5648.0,,,1212.0,560.0,11905.0,578.0,1566.0,,,,,39.9,,,,390.0,8881327.0,
Marche,1996,0.0,0.0,105.0,124.0,9401.0,,,,,,,,,,,7292.0,,10350.0,10296.0,54.0,0.0,356.0,,,,200.0,6722.0,,,,,,,,,,,,,
Molise,1996,,,,,4461.0,137322.0,,,,,,,,,,1854.0,,1996.0,1996.0,0.0,0.0,39.0,,,33.0,52.0,2757.0,18.0,250.0,,,,,39.2,,,,74.9,328100.0,
Nord-Est,1996,15.0,10.0,3417.0,3416.0,62327.0,,,,,,,,,,,,,,,,,,,,,1504.0,27517.0,,,,,,,,,,,,,
Nord-Ovest,1996,139.0,108.0,9679.0,9647.0,57928.0,8608458.0,,,,,,,,,,,,,,,,,,,2853.0,1822.0,30170.0,1534.0,3988.0,,,,,41.3,,,,,14878027.0,
Piemonte,1996,27.0,27.0,1026.0,999.0,25387.0,1435219.0,,,,,,,,,,20458.0,,25161.0,24280.0,881.0,0.0,1528.0,,,1163.0,788.0,13953.0,668.0,1839.0,,,,,42.5,,,,170.9,4250494.0,
Provincia Autonoma di Bolzano/Bozen,1996,,,,,7398.0,,,,,,,,,,,1847.0,,3147.0,2972.0,175.0,0.0,35.0,,,223.0,207.0,4362.0,127.0,223.0,,,,,35.6,,,,61.0,448361.0,
Provincia Autonoma di Trento,1996,,,,,6207.0,,,,,,,,,,,2132.0,,3327.0,3000.0,327.0,0.0,124.0,,,79.0,0.0,,70.0,144.0,,,,,39.1,,,,74.8,458159.0,
Puglia,1996,1.0,3.0,627.0,612.0,19541.0,1377374.0,,,,,,,,,,20080.0,,28766.0,28141.0,625.0,0.0,3466.0,,,544.0,281.0,11248.0,259.0,851.0,,,,,34.6,,,,211.3,4057268.0,
Sardegna,1996,3.0,7.0,1453.0,1467.0,24100.0,1136179.0,,,,,,,,,,10012.0,,10895.0,10711.0,184.0,0.0,950.0,,,0.0,0.0,8454.0,17.0,438.0,,,,,35.9,,,,69.0,1650440.0,
Sicilia,1996,5.0,10.0,2404.0,2363.0,25833.0,2062051.0,,,,,,,,,,30675.0,,25932.0,25789.0,143.0,0.0,2444.0,,,753.0,582.0,16950.0,107.0,1448.0,,,,,35.4,,,,197.2,5009331.0,
Sud,1996,5.0,6.0,2521.0,2449.0,73800.0,6041311.0,,,,,,,,,,,,,,,,,,,2190.0,1416.0,45376.0,1134.0,3810.0,,,,,34.6,,,,,14015677.0,
Toscana,1996,4.0,2.0,970.0,971.0,22988.0,,,,,,,,,,,21394.0,,21325.0,20727.0,598.0,0.0,1188.0,,,884.0,413.0,11073.0,730.0,1417.0,,,,,43.5,,,,154.3,3498181.0,
Umbria,1996,,,6.0,5.0,8464.0,,,,,,,,,,,5310.0,,4589.0,4559.0,30.0,0.0,150.0,,,358.0,64.0,4155.0,182.0,379.0,,,,,43.1,,,,98.8,814173.0,
Valle d'Aosta/Vallée d'Aoste,1996,,,,,3261.0,618569.0,,,,,,,,,,522.0,,513.0,513.0,0.0,0.0,21.0,,,0.0,100.0,649.0,0.0,83.0,,,,,40.8,,,,36.2,117063.0,
Veneto,1996,7.0,6.0,1972.0,1975.0,18407.0,,,,,,,,,,,21392.0,,30265.0,28855.0,1410.0,0.0,2357.0,,,588.0,457.0,9626.0,515.0,1093.0,,,,,39.3,,,,251.7,4409243.0,
Abruzzo,1997,,0.0,27.0,21.0,10833.0,937994.0,,,,,,,,,,8093.0,,8374.0,8267.0,107.0,0.0,1474.0,,,297.0,319.0,7371.0,91.0,533.0,73.0,1279.0,2.0,2.0,39.7,,,,117.9,1257426.0,
Basilicata,1997,,,,,10073.0,257649.0,,,,,,,,,,2699.0,,2833.0,2820.0,13.0,0.0,43.0,,,205.0,40.0,4846.0,17.0,345.0,,,,,36.5,,,,62.4,607150.0,
Calabria,1997,1.0,1.0,543.0,497.0,15222.0,776322.0,,,,,,,,,,13253.0,,10642.0,10152.0,490.0,0.0,130.0,,,402.0,279.0,9528.0,253.0,855.0,7106.0,7450.0,5500.0,5499.0,35.3,,,,139.2,2056715.0,
Campania,1997,3.0,3.0,1552.0,1567.0,13670.0,2623334.0,,,,,,,,,,33472.0,,27400.0,26857.0,543.0,0.0,3533.0,,,720.0,445.0,9626.0,502.0,987.0,8826.0,9497.0,10472.0,10506.0,33.5,,,,426.9,5715238.0,
Centro (IT),1997,178.0,134.0,14292.0,14377.0,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31500.0,,,17592.0,43921.0,5656.0,5741.0,,,,,,,
Emilia-Romagna,1997,9.0,4.0,1324.0,1354.0,22453.0,,,,,,,,,,,25187.0,,23768.0,22978.0,790.0,0.0,1141.0,,,,633.0,10180.0,,,2852.0,15130.0,2.0,2.0,,,,,,,
Friuli-Venezia Giulia,1997,0.0,1.0,499.0,502.0,7862.0,,,,,,,,,,,6160.0,,7499.0,7416.0,83.0,0.0,62.0,,,387.0,207.0,3349.0,274.0,500.0,5269.0,40054.0,99.0,90.0,43.6,,,,155.9,1177870.0,
Isole,1997,8.0,16.0,4412.0,4394.0,49933.0,3247161.0,,,,,,,,,,,,,,,,,,,753.0,582.0,25404.0,123.0,1886.0,56549.0,72813.0,14243.0,14284.0,35.9,,,,,6659424.0,
Italy,1997,339.0,277.0,36544.0,36653.0,302073.0,40671344.0,,,,,,,,,,332124.0,,334613.0,322373.0,12240.0,0.0,22568.0,,,10358.0,6479.0,159967.0,6106.0,15983.0,132782.0,291156.0,38954.0,38913.0,39.2,,,,,56879280.0,
Lazio,1997,174.0,131.0,13150.0,13208.0,17232.0,,,,,,,,,,,39087.0,,40068.0,34601.0,5467.0,0.0,3313.0,,,882.0,478.0,9550.0,681.0,1100.0,3768.0,15325.0,1341.0,1412.0,39.1,,,,304.7,5143465.0,
Liguria,1997,4.0,2.0,435.0,433.0,5416.0,2248489.0,,,,,,,,,,11658.0,,10118.0,10010.0,108.0,0.0,1002.0,,,478.0,374.0,3663.0,288.0,500.0,13338.0,52410.0,1347.0,1234.0,46.5,,,,302.7,1618812.0,
Lombardia,1997,111.0,91.0,8906.0,8980.0,23864.0,4453822.0,,,,,,,,,,47440.0,,53273.0,52780.0,493.0,0.0,3769.0,,,1231.0,560.0,11905.0,598.0,1585.0,,,,,40.2,,,,390.9,8901539.0,
Marche,1997,0.0,0.0,116.0,134.0,9401.0,,,,,,,,,,,7400.0,,9408.0,9273.0,135.0,0.0,360.0,,,,200.0,6722.0,,,3103.0,6975.0,342.0,367.0,,,,,,,
Molise,1997,,,,,4461.0,147374.0,,,,,,,,,,1867.0,,1702.0,1702.0,0.0,0.0,40.0,,,33.0,52.0,2757.0,18.0,250.0,614.0,82.0,176.0,177.0,39.5,,,,74.6,327041.0,
Nord-Est,1997,18.0,12.0,4435.0,4457.0,62327.0,,,,,,,,,,,,,,,,,,,,,1504.0,27517.0,,,12522.0,74678.0,467.0,379.0,,,,,,,
Nord-Ovest,1997,131.0,108.0,10501.0,10574.0,57928.0,8790603.0,,,,,,,,,,,,,,,,,,,2872.0,1822.0,30170.0,1553.0,3984.0,13338.0,52410.0,1347.0,1234.0,41.6,,,,,14883269.0,
Piemonte,1997,16.0,15.0,1160.0,1160.0,25387.0,1457645.0,,,,,,,,,,20872.0,,24501.0,23308.0,1193.0,0.0,1404.0,,,1163.0,788.0,13953.0,668.0,1815.0,,,,,42.8,,,,170.7,4245330.0,
Provincia Autonoma di Bolzano/Bozen,1997,,,0.0,0.0,7398.0,,,,,,,,,,,1900.0,,3086.0,2925.0,161.0,0.0,53.0,,,223.0,207.0,4362.0,127.0,223.0,,,,,36.0,,,,61.3,450683.0,
Provincia Autonoma di Trento,1997,,,,,6207.0,,,,,,,,,,,2161.0,,3415.0,3091.0,324.0,0.0,298.0,,,79.0,,,70.0,144.0,,,,,39.4,,,,75.3,460984.0,
Puglia,1997,1.0,3.0,782.0,766.0,19541.0,1361997.0,,,,,,,,,,20335.0,,23884.0,23421.0,463.0,0.0,1382.0,,,544.0,281.0,11248.0,291.0,851.0,16162.0,29027.0,1089.0,1090.0,35.1,,,,211.1,4054098.0,
Sardegna,1997,3.0,7.0,1655.0,1647.0,24100.0,1206372.0,,,,,,,,,,10180.0,,9770.0,9585.0,185.0,0.0,942.0,,,0.0,0.0,8454.0,17.0,438.0,23851.0,30401.0,5571.0,5670.0,36.4,,,,69.0,1649117.0,
Sicilia,1997,5.0,10.0,2757.0,2747.0,25833.0,2040789.0,,,,,,,,,,30998.0,,24730.0,24605.0,125.0,0.0,2053.0,,,753.0,582.0,16950.0,107.0,1448.0,32698.0,42411.0,8672.0,8613.0,35.7,,,,197.2,5010307.0,
Sud,1997,5.0,7.0,2904.0,2851.0,73800.0,6104670.0,,,,,,,,,,,,,,,,,,,2200.0,1416.0,45376.0,1171.0,3820.0,32781.0,47335.0,17241.0,17275.0,35.0,,,,,14017668.0,
Toscana,1997,4.0,2.0,1019.0,1030.0,22988.0,,,,,,,,,,,21780.0,,19946.0,19350.0,596.0,0.0,474.0,,,883.0,413.0,11073.0,730.0,1416.0,10722.0,21621.0,3973.0,3962.0,43.7,,,,154.2,3494793.0,
Umbria,1997,,,7.0,6.0,8464.0,,,,,,,,,,,5367.0,,3976.0,3976.0,0.0,0.0,30.0,,,358.0,64.0,4155.0,182.0,379.0,,,,,43.3,,,,99.0,816105.0,
Valle d'Aosta/Vallée d'Aoste,1997,,,,,3261.0,630647.0,,,,,,,,,,532.0,,520.0,520.0,0.0,0.0,21.0,,,0.0,100.0,649.0,0.0,83.0,,,,,41.0,,,,36.4,117588.0,
Veneto,1997,8.0,7.0,2612.0,2601.0,18407.0,,,,,,,,,,,21683.0,,25700.0,24736.0,964.0,0.0,1044.0,,,588.0,457.0,9626.0,515.0,1093.0,4401.0,19493.0,367.0,287.0,39.6,,,,252.5,4426481.0,
Abruzzo,1998,,,,,10833.0,997032.0,,,,,,,,,,8181.0,,8295.0,8184.0,111.0,0.0,1469.0,,,297.0,319.0,7358.0,91.0,533.0,121.0,1113.0,,,40.0,,,,118.1,1259153.0,
Basilicata,1998,,,,,10073.0,250780.0,,,,,,,,,,2723.0,,2687.0,2675.0,12.0,0.0,48.0,,,205.0,40.0,4831.0,17.0,345.0,,,,,37.0,,,,62.2,605768.0,
Calabria,1998,0.0,0.0,1.0,1.0,15222.0,835742.0,,,,,,,,,,13382.0,,10447.0,9916.0,531.0,0.0,166.0,,,402.0,279.0,9488.0,253.0,855.0,5993.0,7996.0,5538.0,5538.0,35.8,,,,138.7,2050493.0,
Campania,1998,1.0,1.0,562.0,534.0,13670.0,2679339.0,,,,,,,,,,33733.0,,27572.0,27047.0,525.0,0.0,3667.0,,,720.0,445.0,9583.0,512.0,992.0,7194.0,10845.0,10306.0,10198.0,34.0,,,,427.2,5723749.0,
Centro (IT),1998,121.0,91.0,7667.0,7119.0,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31417.0,,,17335.0,43188.0,5907.0,5952.0,,,,,,,
Emilia-Romagna,1998,6.0,3.0,949.0,901.0,22453.0,,,,,,,,,,,25372.0,,22388.0,21035.0,1353.0,0.0,946.0,,,,633.0,10150.0,,,2905.0,17036.0,,,,,,,,,
Friuli-Venezia Giulia,1998,0.0,0.0,115.0,105.0,7862.0,,,,,,,,,,,6222.0,,7012.0,6921.0,91.0,0.0,62.0,,,387.0,207.0,3364.0,280.0,480.0,5299.0,40072.0,,,43.8,,,,155.8,1177178.0,
Isole,1998,0.0,0.0,410.0,416.0,49933.0,3452714.0,,,,,,,,,,,,,,,,,,,753.0,582.0,25614.0,123.0,1886.0,59369.0,70147.0,14006.0,13980.0,36.4,,,,,6657644.0,
Italy,1998,247.0,198.0,18096.0,16957.0,302073.0,41371580.0,,,,,,,,,,335786.0,,315848.0,304313.0,11535.0,0.0,18825.0,,,10488.0,6479.0,159846.0,6135.0,16033.0,133691.0,297357.0,39027.0,38995.0,39.4,,,,,56908264.0,
Lazio,1998,119.0,90.0,6957.0,6465.0,17232.0,,,,,,,,,,,39580.0,,37541.0,32773.0,4768.0,0.0,2573.0,,,882.0,478.0,9585.0,690.0,1106.0,3852.0,14468.0,1495.0,1443.0,39.4,,,,304.2,5135769.0,
Liguria,1998,1.0,1.0,138.0,130.0,5416.0,2321182.0,,,,,,,,,,11738.0,,9407.0,9377.0,30.0,0.0,875.0,,,478.0,374.0,3663.0,290.0,504.0,16472.0,53888.0,1262.0,1448.0,46.7,,,,300.8,1608299.0,
Lombardia,1998,111.0,97.0,6087.0,5714.0,23864.0,4276577.0,,,,,,,,,,48140.0,,50850.0,50366.0,484.0,0.0,3235.0,,,1300.0,560.0,11925.0,600.0,1587.0,,,,,40.5,,,,391.9,8922361.0,
Marche,1998,0.0,0.0,13.0,16.0,9401.0,,,,,,,,,,,7424.0,,8372.0,8218.0,154.0,0.0,191.0,,,,,6637.0,,,3317.0,6501.0,539.0,505.0,,,,,,,
Molise,1998,,,,,4461.0,151129.0,,,,,,,,,,1884.0,,1761.0,1761.0,0.0,0.0,39.0,,,33.0,52.0,2757.0,18.0,250.0,,,118.0,118.0,39.8,,,,74.3,325621.0,
Nord-Est,1998,10.0,7.0,2652.0,2495.0,62327.0,,,,,,,,,,,,,,,,,,,,,1504.0,27369.0,,,12424.0,77286.0,408.0,382.0,,,,,,,
Nord-Ovest,1998,115.0,100.0,6782.0,6368.0,57928.0,8703536.0,,,,,,,,,,,,,,,,,,,2941.0,1822.0,30111.0,1558.0,4007.0,16472.0,53888.0,1262.0,1448.0,41.8,,,,,14887495.0,
Piemonte,1998,3.0,1.0,557.0,524.0,25387.0,1476431.0,,,,,,,,,,21167.0,,22894.0,21664.0,1230.0,0.0,1134.0,,,1163.0,788.0,13874.0,668.0,1833.0,,,,,43.0,,,,170.4,4238764.0,
Provincia Autonoma di Bolzano/Bozen,1998,,,,,7398.0,,,,,,,,,,,1961.0,,2878.0,2800.0,78.0,0.0,52.0,,,223.0,207.0,4361.0,127.0,223.0,,,,,36.3,,,,61.7,453549.0,
Provincia Autonoma di Trento,1998,,,,,6207.0,,,,,,,,,,,2174.0,,3377.0,3063.0,314.0,0.0,286.0,,,79.0,,,70.0,153.0,,,,,39.6,,,,75.8,463899.0,
Puglia,1998,0.0,0.0,23.0,24.0,19541.0,1372857.0,,,,,,,,,,20555.0,,21665.0,21437.0,228.0,0.0,416.0,,,544.0,281.0,11318.0,291.0,853.0,14782.0,32893.0,1482.0,1379.0,35.5,,,,210.8,4051043.0,
Sardegna,1998,0.0,0.0,76.0,82.0,24100.0,1250244.0,,,,,,,,,,10308.0,,9126.0,8942.0,184.0,0.0,948.0,,,0.0,0.0,8658.0,17.0,438.0,23853.0,30379.0,5709.0,5596.0,37.0,,,,68.9,1646474.0,
Sicilia,1998,0.0,0.0,333.0,334.0,25833.0,2202470.0,,,,,,,,,,31346.0,,23192.0,23069.0,123.0,0.0,1574.0,,,753.0,582.0,16956.0,107.0,1448.0,35515.0,39768.0,8297.0,8384.0,36.1,,,,197.1,5011170.0,
Sud,1998,1.0,1.0,586.0,558.0,73800.0,6286879.0,,,,,,,,,,,,,,,,,,,2200.0,1416.0,45335.0,1181.0,3828.0,28091.0,52847.0,17444.0,17232.0,35.4,,,,,14015827.0,
Toscana,1998,2.0,0.0,697.0,638.0,22988.0,,,,,,,,,,,22002.0,,17900.0,17551.0,349.0,0.0,462.0,,,883.0,413.0,11028.0,730.0,1420.0,10165.0,22219.0,3874.0,4004.0,43.8,,,,154.1,3492712.0,
Umbria,1998,,,,,8464.0,,,,,,,,,,,5432.0,,3639.0,3639.0,0.0,0.0,30.0,,,358.0,64.0,4167.0,182.0,379.0,,,,,43.5,,,,99.2,817638.0,
Valle d'Aosta/Vallée d'Aoste,1998,,,,,3261.0,629346.0,,,,,,,,,,535.0,,501.0,501.0,0.0,0.0,20.0,,,0.0,100.0,649.0,0.0,83.0,,,,,41.2,,,,36.5,118071.0,
Veneto,1998,4.0,4.0,1588.0,1488.0,18407.0,,,,,,,,,,,21927.0,,24344.0,23374.0,970.0,0.0,632.0,,,613.0,457.0,9494.0,515.0,1103.0,4220.0,20179.0,408.0,382.0,39.9,,,,253.6,4444340.0,
Abruzzo,1999,,,,,10833.0,1040980.0,,,,,,,,,,8269.0,,6596.0,6498.0,98.0,0.0,523.0,,,297.0,319.0,7387.0,91.0,533.0,217.0,1043.0,,,40.3,,,,118.2,1260492.0,
Basilicata,1999,,,,,10073.0,250780.0,,,,,,,,,,2755.0,,2456.0,2444.0,12.0,0.0,45.0,,,205.0,40.0,4884.0,17.0,345.0,,,,,37.5,,,,62.0,603507.0,
Calabria,1999,,,,,15222.0,932332.0,,,,,,,,,,13529.0,,9052.0,8617.0,435.0,0.0,149.0,,,402.0,279.0,9546.0,253.0,855.0,8056.0,10591.0,5217.0,5217.0,36.3,,,,137.9,2041446.0,
Campania,1999,,,,,13670.0,2737003.0,,,,,,,,,,33968.0,,21488.0,21008.0,480.0,0.0,280.0,,,720.0,445.0,9587.0,512.0,992.0,5981.0,11321.0,11930.0,11846.0,34.5,,,,427.0,5722729.0,
Centro (IT),1999,,,,,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31302.0,,,17989.0,41447.0,7493.0,7331.0,,,,,,,
Emilia-Romagna,1999,,,,,22453.0,,,,,,,,,,,25635.0,,20173.0,18512.0,1661.0,0.0,609.0,,,,633.0,10140.0,,,2473.0,15366.0,,,,,,,,,
Friuli-Venezia Giulia,1999,,,,,7862.0,,,,,,,,,,,6319.0,,6605.0,6487.0,118.0,0.0,70.0,,,387.0,207.0,3388.0,298.0,480.0,5682.0,33562.0,,,44.0,,,,155.9,1177047.0,
Isole,1999,,,,,49933.0,3596912.0,,,,,,,,,,,,,,,,,,,753.0,582.0,27158.0,123.0,1882.0,53668.0,63311.0,14200.0,14434.0,36.8,,,,,6646550.0,
Italy,1999,,,,,302073.0,42475852.0,,,,,,,,,,339264.0,,280438.0,269911.0,10527.0,0.0,9217.0,,,10661.0,6479.0,161706.0,6203.0,16045.0,127524.0,282236.0,41553.0,41478.0,39.7,,,,,56913630.0,
