Date,ABR,BAS,BZ,CAL,CAM,EMR,FVG,LAZ,LIG,LOM,MAR,MOL,PIE,PUG,SAR,SIC,TN,TOS,UMB,VDA,VEN
2020-01-31,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-01,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-02,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-03,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-04,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-05,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-06,15631.306849315068,3488.38904109589,20948.04109589041,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10041.827397260275,223546.4794520548,22202.016438356164,8390.506849315068,167124.90410958903
2020-02-07,15631.306849315068,3488.38904109589,21087.694703196346,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10108.77291324201,223546.4794520548,22350.029881278537,8446.443561643835,168239.07013698627
2020-02-08,15631.306849315068,3488.38904109589,21227.34831050228,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10175.718429223743,223546.4794520548,22498.04332420091,8502.380273972602,169353.23616438353
2020-02-09,15631.306849315068,3488.38904109589,21367.001917808215,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10242.663945205479,223546.4794520548,22646.056767123282,8558.316986301368,170467.40219178077
