Date,Code,Confirmed,Deaths,ICU,incidenceRate,populationBaseline,Recovered,susceptiblePopulation,susceptibleRate,Tested,TestedPositive,totalPopulation,region,populationDensity,airPassengersArrived,airPassengersDeparted,touristArrivals,broadbandAccess,deathRateDiabetes,deathRateInfluenza,deathRateChd,deathRateCancer,deathRatePneumonia,availableBeds,maritimePassengersDisembarked,maritimePassengersEmbarked,riskOfPovertyOrSocialExclusion,railTravelers
2020-02-02,MOL,0,0,NA,0,305180.89334195794,NA,305183.3967129479,1,NA,0,305183.3967129479,Molise,69.1,0,0,127283,77,39.84,0.96,148.12,253.5,16.71,1130,0,0,27.1,4388.953424657534
2020-02-02,PIE,0,0,NA,0,4350189.534090922,NA,4350225.218298283,1,NA,0,4350225.218298283,Piemonte,173.6,2059,2048,3235861,83,31.53,0.61,103.65,321.48,25.15,15721,264.95046082949324,273.3905529953919,18.7,138878.52602739725
2020-02-02,PUG,0,0,NA,0,4023303.6573950257,NA,4023336.660187401,1,NA,0,4023336.660187401,Puglia,209.3,3757,3802,3023423,77,41.12,0.57,97.19,247.29,8.4,11620,972,954,35.7,45527.43561643836
2020-02-02,SAR,0,0,NA,0,1637251.3508588665,NA,1637264.7810821356,1,NA,0,1637264.7810821356,Sardegna,69.1,4353,4397,1629624,84,28.15,0.91,81.36,291.31,12.87,5215,4649,4577,35,11232.11506849315
2020-02-02,SIC,0,0,NA,0,4992756.2995265825,NA,4992797.254650421,1,NA,0,4992797.254650421,Sicilia,195.1,8819,8914,2686092,76,51.64,0.34,98.41,245.03,9.4,13820,7983,7940,51.6,32257.460273972603
2020-02-02,TN,0,0,NA,0,540325.8687361854,NA,540330.3009799281,1,NA,0,540330.3009799281,Provincia Autonoma di Trento,87.8,23.177676537585423,23.599088838268795,2705981,91,20.06,0.19,112.37,263.18,17.09,1918,990.1628701594535,974.8280182232348,20.6,10041.827397260275
2020-02-02,TOS,0,0,NA,0,3724318.9096967555,NA,3724349.4599445574,1,NA,0,3724349.4599445574,Toscana,163.7,4069,4087,6321753,86,35.05,0.29,108.99,310.49,22.47,11029,4646,4794,19.3,223546.4794520548
2020-02-02,UMB,0,0,NA,0,880756.3899946894,NA,880763.6147589,1,NA,0,880763.6147589,Umbria,106.3,110,112,1701476,86,31.8,0.79,147.86,302.12,21.46,2718,972.9764816556913,985.3537158984007,19.2,22202.016438356164
2020-02-02,VDA,0,0,NA,0,125486.67823684704,NA,125487.70759260548,1,NA,0,125487.70759260548,Valle d'Aosta/Vallée d'Aoste,38.8,3399.3788659793813,3433.7396907216494,755502,85,24.39,0.23587628865979385,92.05,309.19,32.26,462,3630.533505154639,3574.306701030928,14.6,8390.506849315068
2020-02-02,VEN,0,0,NA,0,4898853.487617565,NA,4898893.672465217,1,NA,0,4898893.672465217,Veneto,282.8,8947,8962,6826396,87,29.22,0.47,104.49,268.77,20.91,16812,20.558698727015557,21.099717114568598,14.7,167124.90410958903
