date,code,recovered,deaths,infectives,tested
2020-03-02,VDA,0,0,0,11
2020-03-02,VEN,0,2,273,9782
2020-03-03,ABR,0,0,6,52
2020-03-03,BAS,0,0,1,42
2020-03-03,CAL,0,0,1,39
2020-03-03,CAM,0,0,30,405
2020-03-03,EMR,4,18,420,2012
2020-03-03,FVG,0,0,13,354
2020-03-03,LAZ,3,0,14,877
2020-03-03,LIG,4,1,24,121
2020-03-03,LOM,139,55,1520,9577
2020-03-03,MAR,0,2,61,200
2020-03-03,MOL,0,0,3,13
2020-03-03,BZ,0,0,1,20
2020-03-03,TN,0,0,4,122
2020-03-03,PIE,0,0,56,458
2020-03-03,PUG,0,0,6,298
2020-03-03,SAR,0,0,1,29
2020-03-03,SIC,2,0,7,307
2020-03-03,TOS,1,0,19,697
2020-03-03,UMB,0,0,8,45
2020-03-03,VDA,0,0,0,12
2020-03-03,VEN,7,3,307,10176
2020-03-04,ABR,0,0,7,85
2020-03-04,BAS,0,0,1,48
2020-03-04,CAL,0,0,1,46
2020-03-04,CAM,0,0,31,429
2020-03-04,EMR,6,22,544,2500
2020-03-04,FVG,0,0,18,376
2020-03-04,LAZ,3,0,30,995
2020-03-04,LIG,4,1,26,133
2020-03-04,LOM,250,73,1820,12138
2020-03-04,MAR,0,4,84,288
2020-03-04,MOL,0,0,3,19
2020-03-04,BZ,0,0,1,20
2020-03-04,TN,0,0,5,122
2020-03-04,PIE,0,0,82,543
2020-03-04,PUG,1,1,9,322
2020-03-04,SAR,0,0,2,42
2020-03-04,SIC,2,0,18,367
2020-03-04,TOS,1,0,38,776
2020-03-04,UMB,0,0,9,58
2020-03-04,VDA,0,0,0,15
2020-03-04,VEN,9,6,360,10515
2020-03-05,ABR,0,0,8,96
2020-03-05,BAS,0,0,1,54
2020-03-05,CAL,0,0,2,53
2020-03-05,CAM,0,0,45,471
2020-03-05,EMR,10,30,698,2884
2020-03-05,FVG,0,0,21,397
2020-03-05,LAZ,3,0,44,1175
2020-03-05,LIG,4,3,28,146
2020-03-05,LOM,376,98,2251,12354
2020-03-05,MAR,0,4,124,413
2020-03-05,MOL,0,0,7,24
2020-03-05,BZ,0,0,1,20
2020-03-05,TN,0,0,7,122
2020-03-05,PIE,0,2,108,543
2020-03-05,PUG,1,1,14,359
2020-03-05,SAR,0,0,2,50
2020-03-05,SIC,2,0,18,367
2020-03-05,TOS,1,0,61,776
2020-03-05,UMB,0,0,9,88
2020-03-05,VDA,0,0,2,21
2020-03-05,VEN,17,10,407,11949
2020-03-06,ABR,0,0,9,96
2020-03-06,BAS,0,0,3,63
2020-03-06,CAL,0,0,4,99
2020-03-06,CAM,0,0,57,471
2020-03-06,EMR,17,37,870,3136
2020-03-06,FVG,3,0,31,577
2020-03-06,LAZ,3,1,54,1373
2020-03-06,LIG,5,3,32,229
2020-03-06,LOM,469,135,2612,13556
2020-03-06,MAR,0,4,159,585
2020-03-06,MOL,0,0,12,104
2020-03-06,BZ,0,0,4,36
2020-03-06,TN,0,0,10,122
2020-03-06,PIE,0,4,143,793
2020-03-06,PUG,1,1,17,395
2020-03-06,SAR,0,0,5,99
2020-03-06,SIC,2,0,24,367
2020-03-06,TOS,1,0,79,1097
2020-03-06,UMB,0,0,16,110
2020-03-06,VDA,0,0,7,28
2020-03-06,VEN,22,12,488,13023
2020-03-07,ABR,0,0,11,123
2020-03-07,BAS,0,0,3,75
2020-03-07,CAL,0,0,4,113
2020-03-07,CAM,0,0,61,612
2020-03-07,EMR,25,48,1010,3604
2020-03-07,FVG,3,0,42,577
2020-03-07,LAZ,3,1,76,1582
2020-03-07,LIG,5,4,51,331
2020-03-07,LOM,524,154,3420,15778
2020-03-07,MAR,0,6,207,816
2020-03-07,MOL,0,0,14,112
2020-03-07,BZ,0,0,9,36
2020-03-07,TN,0,0,14,194
2020-03-07,PIE,0,5,207,1046
2020-03-07,PUG,1,2,26,395
2020-03-07,SAR,0,0,5,99
2020-03-07,SIC,2,0,35,643
2020-03-07,TOS,1,0,113,1331
2020-03-07,UMB,0,0,24,134
2020-03-07,VDA,0,0,8,32
2020-03-07,VEN,25,13,543,14429
2020-03-08,ABR,0,0,17,163
2020-03-08,BAS,0,0,4,123
2020-03-08,CAL,0,0,9,113
2020-03-08,CAM,1,0,101,980
2020-03-08,EMR,27,56,1180,4344
2020-03-08,FVG,3,1,57,997
2020-03-08,LAZ,3,3,87,1929
2020-03-08,LIG,5,6,78,401
2020-03-08,LOM,550,267,4189,18534
2020-03-08,MAR,0,7,272,1025
2020-03-08,MOL,0,0,14,116
2020-03-08,BZ,0,0,9,36
2020-03-08,TN,0,0,23,228
2020-03-08,PIE,0,5,360,1636
2020-03-08,PUG,1,3,40,627
2020-03-08,SAR,0,0,11,149
2020-03-08,SIC,2,0,53,791
2020-03-08,TOS,1,0,166,1618
2020-03-08,UMB,0,0,26,168
2020-03-08,VDA,0,0,9,41
2020-03-08,VEN,29,18,670,15918
2020-03-09,ABR,0,0,30,237
2020-03-09,BAS,0,0,5,135
2020-03-09,CAL,2,0,11,173
2020-03-09,CAM,1,0,120,980
2020-03-09,EMR,30,70,1386,4906
2020-03-09,FVG,3,1,93,1344
2020-03-09,LAZ,3,5,102,1929
2020-03-09,LIG,5,7,109,611
2020-03-09,LOM,646,333,5469,20135
2020-03-09,MAR,0,10,323,1250
2020-03-09,MOL,0,0,14,212
2020-03-09,BZ,0,0,9,36
2020-03-09,TN,0,0,33,267
2020-03-09,PIE,0,13,350,1681
2020-03-09,PUG,1,3,50,685
2020-03-09,SAR,0,0,19,185
2020-03-09,SIC,2,0,54,836
2020-03-09,TOS,1,1,208,2018
2020-03-09,UMB,0,0,28,183
2020-03-09,VDA,0,0,15,67
2020-03-09,VEN,30,20,744,15956
2020-03-10,ABR,0,1,38,310
2020-03-10,BAS,0,0,7,148
2020-03-10,CAL,2,0,13,360
2020-03-10,CAM,1,0,127,1141
2020-03-10,EMR,31,85,1533,5494
2020-03-10,FVG,3,3,116,1602
2020-03-10,LAZ,11,6,116,3591
2020-03-10,LIG,5,8,141,694
2020-03-10,LOM,896,468,5791,21479
2020-03-10,MAR,0,13,394,1437
2020-03-10,MOL,0,0,15,225
2020-03-10,BZ,0,0,38,36
2020-03-10,TN,2,0,52,399
2020-03-10,PIE,0,17,453,2374
2020-03-10,PUG,1,3,59,747
2020-03-10,SAR,0,0,20,204
2020-03-10,SIC,2,0,62,955
2020-03-10,TOS,3,1,264,2573
2020-03-10,UMB,0,0,37,260
2020-03-10,VDA,0,0,17,89
2020-03-10,VEN,47,26,856,16643
2020-03-11,ABR,0,1,38,310
2020-03-11,BAS,0,0,8,155
2020-03-11,CAL,2,0,19,405
2020-03-11,CAM,4,1,154,1375
2020-03-11,EMR,38,113,1739,6640
2020-03-11,FVG,10,6,126,2073
2020-03-11,LAZ,19,6,150,3591
2020-03-11,LIG,5,8,194,1025
2020-03-11,LOM,900,617,7280,25629
2020-03-11,MAR,0,18,479,1656
2020-03-11,MOL,0,0,16,233
2020-03-11,BZ,0,0,75,75
2020-03-11,TN,3,0,77,527
2020-03-11,PIE,0,21,501,2431
2020-03-11,PUG,1,5,77,909
2020-03-11,SAR,0,0,37,283
2020-03-11,SIC,2,0,83,1194
2020-03-11,TOS,5,1,320,2804
2020-03-11,UMB,2,0,46,340
2020-03-11,VDA,0,1,20,99
2020-03-11,VEN,54,29,1023,21400
2020-03-12,ABR,4,2,84,867
2020-03-12,BAS,0,0,8,155
2020-03-12,CAL,1,0,33,483
2020-03-12,CAM,4,1,179,1551
2020-03-12,EMR,43,146,1947,7600
2020-03-12,FVG,11,8,167,2604
2020-03-12,LAZ,19,9,200,5592
2020-03-12,LIG,20,11,274,1174
2020-03-12,LOM,1085,744,8725,29534
2020-03-12,MAR,0,22,592,1907
2020-03-12,MOL,0,0,16,238
2020-03-12,BZ,0,1,104,607
2020-03-12,TN,4,1,107,593
2020-03-12,PIE,0,26,580,2879
2020-03-12,PUG,1,5,104,1269
2020-03-12,SAR,0,0,39,302
2020-03-12,SIC,2,2,115,1477
2020-03-12,TOS,7,5,364,3165
2020-03-12,UMB,2,0,64,458
2020-03-12,VDA,0,1,27,118
2020-03-12,VEN,55,32,1384,23438
2020-03-13,ABR,4,2,89,958
2020-03-13,BAS,0,0,10,155
2020-03-13,CAL,1,0,38,504
2020-03-13,CAM,5,2,220,1671
2020-03-13,EMR,51,201,2263,8787
2020-03-13,FVG,11,10,257,3149
2020-03-13,LAZ,24,11,277,6491
2020-03-13,LIG,24,17,345,1442
2020-03-13,LOM,1198,890,9820,32700
2020-03-13,MAR,0,27,725,2218
2020-03-13,MOL,0,0,17,243
2020-03-13,BZ,0,2,125,811
2020-03-13,TN,4,2,163,846
2020-03-13,PIE,0,46,840,3105
2020-03-13,PUG,3,5,129,1449
2020-03-13,SAR,0,0,43,504
2020-03-13,SIC,2,2,130,1950
2020-03-13,TOS,10,5,470,4049
2020-03-13,UMB,2,1,76,576
2020-03-13,VDA,0,1,28,189
2020-03-13,VEN,100,42,1595,25691
2020-03-14,ABR,4,2,112,1232
2020-03-14,BAS,0,0,10,155
2020-03-14,CAL,1,0,60,711
2020-03-14,CAM,23,6,272,1936
2020-03-14,EMR,54,241,2644,10043
2020-03-14,FVG,17,13,301,3376
2020-03-14,LAZ,24,13,357,7335
2020-03-14,LIG,52,27,463,1750
2020-03-14,LOM,1660,966,11685,37138
2020-03-14,MAR,0,36,899,2561
2020-03-14,MOL,0,0,17,247
2020-03-14,BZ,0,3,173,1135
2020-03-14,TN,5,2,206,1006
2020-03-14,PIE,0,59,873,3680
2020-03-14,PUG,2,8,166,1681
2020-03-14,SAR,0,0,47,530
2020-03-14,SIC,4,2,156,2100
2020-03-14,TOS,10,6,630,4595
2020-03-14,UMB,3,1,107,748
2020-03-14,VDA,0,1,42,231
2020-03-14,VEN,107,55,1937,26980
2020-03-15,ABR,6,3,137,1419
2020-03-15,BAS,0,0,11,208
2020-03-15,CAL,1,1,68,884
2020-03-15,CAM,28,9,333,2213
2020-03-15,EMR,68,284,3093,12054
2020-03-15,FVG,17,14,347,3407
2020-03-15,LAZ,24,16,436,8345
2020-03-15,LIG,33,33,559,1973
2020-03-15,LOM,2011,1218,13272,40369
2020-03-15,MAR,0,46,1133,2946
2020-03-15,MOL,0,0,17,248
2020-03-15,BZ,0,5,204,1497
2020-03-15,TN,5,6,378,1006
2020-03-15,PIE,0,81,1111,4375
2020-03-15,PUG,2,16,230,2017
2020-03-15,SAR,0,2,77,613
2020-03-15,SIC,7,2,188,2452
2020-03-15,TOS,10,8,781,5132
2020-03-15,UMB,3,1,143,965
2020-03-15,VDA,0,1,57,230
