date,code,deaths,incidenceRate,populationBaseline,recovered,susceptiblePopulation,susceptibleRate,tested,testedPositive,totalPopulation,region,touristArrivals,broadbandAccess,dischargeRateDiabetes,dischargeRateHypertension,dischargeRateCancer,dischargeRateChd,dischargeRateTB,availableBeds,riskOfPovertyOrSocialExclusion,medianAge,populationDensity,railTravelers
2020-03-08,MAR,1,4.268049251975122e-5,1522879,0,1522679,0.9998259949151118,209,65,1522944,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,-96414
2020-03-08,MOL,0,0,305140,0,305138,0.9999541212248322,4,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-2496113
2020-03-08,PIE,0,3.2875271220987576e-5,4349563,0,4349431,0.99992114532847,590,143,4349774,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-522926
2020-03-08,PUG,1,3.4800583953798747e-6,4022732,0,4022884,0.9999908027028123,232,14,4022921,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-360971
2020-03-08,SAR,0,3.665024125021303e-6,1637013,0,1637086,0.9999932807891041,50,6,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,-727361
2020-03-08,SIC,0,3.605563384301978e-6,4992045,0,4992232,0.999989383618924,148,18,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-381327
2020-03-08,TN,0,1.6658183332562123e-5,540251,0,540252,0.999957429087039,34,9,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-257678
2020-03-08,TOS,0,1.4232130888342757e-5,3723788,0,3723802,0.9999554238919346,287,53,3723968,Toscana,6321753,86,28.6,25.1,1221.5,90.6,9.5,11029,19.3,48.4,163.7,-4687527
2020-03-08,UMB,0,2.2709904811433985e-6,880625,0,880647,0.9999704771237451,34,2,880673,Umbria,1701476,86,40.1,59.5,1277.9,169.6,9.8,2718,19.2,48.3,106.3,-133015
2020-03-08,VDA,0,7.969715082685795e-6,125463,0,125466,0.9999282725642559,9,1,125475,Valle d'Aosta/Vallée d'Aoste,755502,85,15.8,70.3,1126.9,124.9,6.3,462,14.6,48,38.8,-192696
2020-03-08,VEN,5,2.5926970868292213e-5,4898151,4,4897754,0.9998734273863122,1489,127,4898374,Veneto,6826396,87,72.4,46,1190.4,98.8,7.4,16812,14.7,47.2,282.8,-4338816
2020-03-09,ABR,0,9.926808874567134e-6,1309520,0,1309555,0.9999770919795202,74,13,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-593110
2020-03-09,BAS,0,1.779318271997267e-6,561987,0,562008,0.9999911034086401,12,1,562013,Basilicata,749956,78,22,47.3,989.9,110.8,7.6,1720,39.2,47,56.4,-101014
2020-03-09,BZ,0,0,530344,0,530361,0.999983030714407,0,0,530370,Provincia Autonoma di Bolzano/Bozen,2576564,85,69.8,51.3,941.1,47.7,7,1919,12.9,44,71.8,-691156
2020-03-09,CAL,0,1.0287171537042305e-6,1944065,1,1944158,0.9999943420556546,60,2,1944169,Calabria,1486385,77,35.5,49.8,605.2,121.3,10.1,4150,44.5,45.2,128.6,-13099664
2020-03-09,CAM,0,3.2798957752698276e-6,5792555,0,5792747,0.9999792848687877,0,19,5792867,Campania,3354019,79,43.9,66.5,863.5,191,7,15347,53.6,43.4,426.4,-4729050
2020-03-09,EMR,14,4.626486455287142e-5,4452459,3,4451325,0.9997084864359727,562,206,4452623,Emilia-Romagna,8355467,88,81,73.1,1424.7,105.4,10.8,16316,14.2,47.5,201.7,-945866
2020-03-09,FVG,0,2.9669433066583154e-5,1213306,0,1213278,0.9999241781154965,347,36,1213370,Friuli-Venezia Giulia,1237869,87,38.6,63.9,1352.8,81.9,6.5,4268,13.6,49.2,160.5,-14707062
2020-03-09,LAZ,2,2.5553079367523807e-6,5869827,0,5870040,0.9999839867369297,0,15,5870134,Lazio,4606265,87,48.2,64.1,1194.4,126.1,12.8,19483,27.5,46.3,347.2,-4688277
2020-03-09,LIG,1,2.0022295795188706e-5,1548203,0,1548172,0.9999341201880287,210,31,1548274,Liguria,2550375,84,46.2,52.7,1240.4,94.9,10.6,5517,18.8,50.9,287.3,-23334429
2020-03-09,LOM,66,1.2742734152717687e-4,10044734,96,10039967,0.9995049248676448,1601,1280,10044940,Lombardia,7661191,87,70.5,27.2,1200.9,142.4,9.7,35870,15.7,46.5,436,-1655461
2020-03-09,MAR,3,3.348783702060684e-5,1522873,0,1522628,0.9997944766080892,225,51,1522941,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,-153386
2020-03-09,MOL,0,0,305139,0,305138,0.9999541212248322,96,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-3744170
2020-03-09,PIE,8,0,4349545,0,4349431,0.999922984362837,45,0,4349766,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-878515
2020-03-09,PUG,0,2.4857559966999106e-006,4022716,0,4022874,0.9999883169468156,58,10,4022921,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-391052
2020-03-09,SAR,0,4.886698833361737e-6,1637006,0,1637078,0.9999883940902707,36,8,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,-1591102
2020-03-09,SIC,0,2.0030907690566545e-7,4992025,0,4992231,0.9999891833098471,45,1,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-414973
2020-03-09,TN,0,1.850909259173569e-5,540249,0,540242,0.9999389199944473,39,10,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-1095130
